date_heure,id_compteur,nb_passages
2025-01-01 11:00:00,100052602,0
2025-01-01 11:00:00,100052603,1
2025-01-01 11:00:00,100052605,2
2025-01-01 11:00:00,100052606,1
2025-01-01 11:00:00,100053055,0
2025-01-01 11:00:00,100053059,0
2025-01-01 11:00:00,100053210,2
2025-01-01 11:00:00,100054073,0
2025-01-01 11:00:00,100055268,2
2025-01-01 11:00:00,100056188,3
2025-01-01 11:00:00,300014985,5
2025-01-01 11:00:00,300014986,2
2025-01-01 11:00:00,300014993,3
2025-01-01 11:00:00,300014994,0
2025-01-01 11:00:00,300014995,1
2025-01-01 11:00:00,300014996,2
2025-01-01 11:00:00,300020478,2
2025-01-01 11:00:00,300020679,7
2025-01-01 11:00:00,300020816,5
2025-01-01 11:00:00,300020817,2
2025-01-01 11:00:00,300021685,0
2025-01-01 11:00:00,300028650,1
2025-01-01 12:00:00,100001753,1
2025-01-01 12:00:00,100003032,4
2025-01-01 12:00:00,100003040,1
2025-01-01 12:00:00,100003041,2
2025-01-01 12:00:00,100003042,6
2025-01-01 12:00:00,100004575,0
2025-01-01 12:00:00,100007390,12
2025-01-01 12:00:00,100011747,0
2025-01-01 12:00:00,100011783,2
2025-01-01 12:00:00,100012217,5
2025-01-01 12:00:00,100012218,9
2025-01-01 12:00:00,100017441,0
2025-01-01 12:00:00,100017523,2
2025-01-01 12:00:00,100025474,14
2025-01-01 12:00:00,100035408,0
2025-01-01 12:00:00,100035409,0
2025-01-01 12:00:00,100041114,2
2025-01-01 12:00:00,100047030,2
2025-01-01 12:00:00,100052600,9
2025-01-01 12:00:00,100052602,0
2025-01-01 12:00:00,100052603,2
2025-01-01 12:00:00,100052605,0
2025-01-01 12:00:00,100052606,1
2025-01-01 12:00:00,100053055,0
2025-01-01 12:00:00,100053059,2
2025-01-01 12:00:00,100053210,0
2025-01-01 12:00:00,100054073,0
2025-01-01 12:00:00,100055268,6
2025-01-01 12:00:00,100056188,5
2025-01-01 12:00:00,300014985,6
2025-01-01 12:00:00,300014986,4
2025-01-01 12:00:00,300014993,0
2025-01-01 12:00:00,300014994,3
2025-01-01 12:00:00,300014995,3
2025-01-01 12:00:00,300014996,2
2025-01-01 12:00:00,300020478,5
2025-01-01 12:00:00,300020679,6
2025-01-01 12:00:00,300020816,1
2025-01-01 12:00:00,300020817,1
2025-01-01 12:00:00,300021685,0
2025-01-01 12:00:00,300028650,1
2025-01-01 13:00:00,100001753,0
2025-01-01 13:00:00,100003032,10
2025-01-01 13:00:00,100003040,0
2025-01-01 13:00:00,100003041,1
2025-01-01 13:00:00,100003042,3
2025-01-01 13:00:00,100004575,0
2025-01-01 13:00:00,100007390,18
2025-01-01 13:00:00,100011747,4
2025-01-01 13:00:00,100011783,7
2025-01-01 13:00:00,100012217,9
2025-01-01 13:00:00,100012218,2
2025-01-01 13:00:00,100017441,3
2025-01-01 13:00:00,100017523,1
2025-01-01 13:00:00,100025474,8
2025-01-01 13:00:00,100035408,1
2025-01-01 13:00:00,100035409,0
2025-01-01 13:00:00,100041114,0
2025-01-01 13:00:00,100047030,4
2025-01-01 13:00:00,100052600,11
2025-01-01 13:00:00,100052602,2
2025-01-01 13:00:00,100052603,2
2025-01-01 13:00:00,100052605,1
2025-01-01 13:00:00,100052606,3
2025-01-01 13:00:00,100053055,0
2025-01-01 13:00:00,100053059,3
2025-01-01 13:00:00,100053210,3
2025-01-01 13:00:00,100054073,0
2025-01-01 13:00:00,100055268,3
2025-01-01 13:00:00,100056188,7
2025-01-01 13:00:00,300014985,2
2025-01-01 13:00:00,300014986,5
2025-01-01 13:00:00,300014993,2
2025-01-01 13:00:00,300014994,7
2025-01-01 13:00:00,300014995,14
2025-01-01 13:00:00,300014996,4
2025-01-01 13:00:00,300020478,1
2025-01-01 13:00:00,300020679,5
2025-01-01 13:00:00,300020816,3
2025-01-01 13:00:00,300020817,5
2025-01-01 13:00:00,300021685,1
2025-01-01 13:00:00,300028650,5
2025-01-01 14:00:00,100001753,2
2025-01-01 14:00:00,100003032,7
2025-01-01 14:00:00,100003040,2
2025-01-01 14:00:00,100003041,9
2025-01-01 14:00:00,100003042,3
2025-01-01 14:00:00,100004575,0
2025-01-01 14:00:00,100007390,12
2025-01-01 14:00:00,100011747,2
2025-01-01 14:00:00,100011783,3
2025-01-01 14:00:00,100012217,7
2025-01-01 14:00:00,100012218,4
2025-01-01 14:00:00,100017441,4
2025-01-01 14:00:00,100017523,0
2025-01-01 14:00:00,100025474,16
2025-01-01 14:00:00,100035408,0
2025-01-01 14:00:00,100035409,0
2025-01-01 14:00:00,100041114,2
2025-01-01 14:00:00,100047030,0
2025-01-01 14:00:00,100052600,6
2025-01-01 14:00:00,100052602,0
2025-01-01 14:00:00,100052603,0
2025-01-01 14:00:00,100052605,0
2025-01-01 14:00:00,100052606,1
2025-01-01 14:00:00,100053055,1
2025-01-01 14:00:00,100053059,1
2025-01-01 14:00:00,100053210,1
2025-01-01 14:00:00,100054073,0
2025-01-01 14:00:00,100055268,5
2025-01-01 14:00:00,100056188,6
2025-01-01 14:00:00,300014985,7
2025-01-01 14:00:00,300014986,7
2025-01-01 14:00:00,300014993,5
2025-01-01 14:00:00,300014994,3
2025-01-01 14:00:00,300014995,5
2025-01-01 14:00:00,300014996,12
2025-01-01 14:00:00,300020478,2
2025-01-01 14:00:00,300020679,11
2025-01-01 14:00:00,300020816,5
2025-01-01 14:00:00,300020817,4
2025-01-01 14:00:00,300021685,0
2025-01-01 14:00:00,300028650,5
2025-01-01 15:00:00,100001753,4
2025-01-01 15:00:00,100003032,8
2025-01-01 15:00:00,100003040,0
2025-01-01 15:00:00,100003041,7
2025-01-01 15:00:00,100003042,5
2025-01-01 15:00:00,100004575,0
2025-01-01 15:00:00,100007390,11
2025-01-01 15:00:00,100011747,4
2025-01-01 15:00:00,100011783,3
2025-01-01 15:00:00,100012217,13
2025-01-01 15:00:00,100012218,2
2025-01-01 15:00:00,100017441,7
2025-01-01 15:00:00,100017523,3
2025-01-01 15:00:00,100025474,10
2025-01-01 15:00:00,100035408,0
2025-01-01 15:00:00,100035409,0
2025-01-01 15:00:00,100041114,4
2025-01-01 15:00:00,100047030,4
2025-01-01 15:00:00,100052600,9
2025-01-01 15:00:00,100052602,1
2025-01-01 15:00:00,100052603,3
2025-01-01 15:00:00,100052605,2
2025-01-01 15:00:00,100052606,6
2025-01-01 15:00:00,100053055,0
2025-01-01 15:00:00,100053059,2
2025-01-01 15:00:00,100053210,2
2025-01-01 15:00:00,100054073,2
2025-01-01 15:00:00,100055268,3
2025-01-01 15:00:00,100056188,12
2025-01-01 15:00:00,300014985,14
2025-01-01 15:00:00,300014986,8
2025-01-01 15:00:00,300014993,2
2025-01-01 15:00:00,300014994,4
2025-01-01 15:00:00,300014995,13
2025-01-01 15:00:00,300014996,13
2025-01-01 15:00:00,300020478,1
2025-01-01 15:00:00,300020679,6
2025-01-01 15:00:00,300020816,4
2025-01-01 15:00:00,300020817,9
2025-01-01 15:00:00,300021685,1
2025-01-01 15:00:00,300028650,3
2025-01-01 16:00:00,100001753,3
2025-01-01 16:00:00,100003032,12
2025-01-01 16:00:00,100003040,0
2025-01-01 16:00:00,100003041,8
2025-01-01 16:00:00,100003042,8
2025-01-01 16:00:00,100004575,0
2025-01-01 16:00:00,100007390,10
2025-01-01 16:00:00,100011747,0
2025-01-01 16:00:00,100011783,7
2025-01-01 16:00:00,100012217,7
2025-01-01 16:00:00,100012218,1
2025-01-01 16:00:00,100017441,6
2025-01-01 16:00:00,100017523,4
2025-01-01 16:00:00,100025474,8
2025-01-01 16:00:00,100035408,6
2025-01-01 16:00:00,100035409,0
2025-01-01 16:00:00,100041114,5
2025-01-01 16:00:00,100047030,5
